platform,backend,variant,device,mode,dataset,n_images,mean_latency_ms,std_latency_ms,fps,mean_f1,mean_iou,avg_predictions,load_time_s
Arc_B60,openvino,int8_sym,GPU,text,Candies,12,469.14306466836325,11.595117384204917,2.1315459511415753,0.9920370370370369,0.8649728198889512,20.5,5.246456575987395
Arc_B60,openvino,int8_sym,GPU,text,LED,15,417.9697510631134,12.127222060550238,2.392517634246216,0.0,0.0,0.0,4.664487742993515
Arc_B60,openvino,int8_sym,GPU,text,Nuts,21,507.4654452813168,10.7453451642133,1.9705775226639193,0.7032312925170067,0.9177411531194207,6.428571428571429,5.613622462027706
Arc_B60,openvino,int8_sym,GPU,text,Potatoes,10,488.1585013936274,21.044143633656503,2.0485149744296853,1.0,0.9448751057738776,8.0,384.96223221498076
Arc_B60,openvino,int8_sym,GPU,visual_exemplar,Candies,11,464.74144036818126,12.884656731493052,2.151734089406298,0.9913131313131313,0.8901646865557681,20.272727272727273,5.016838365991134
Arc_B60,openvino,int8_sym,GPU,visual_exemplar,LED,14,422.0486322176709,2.3166746980625343,2.36939519207884,0.8869047619047619,0.7005037149776413,4.071428571428571,5.052035385044292
Arc_B60,openvino,int8_sym,GPU,visual_exemplar,Nuts,20,411.9267653499264,6.392194491064383,2.4276159844833414,0.9761904761904763,0.9366088127342526,3.55,5.074284131987952
Arc_B60,openvino,int8_sym,GPU,visual_exemplar,Potatoes,9,484.56556311187643,21.837207989636447,2.0637042252404556,1.0,0.9583772889471435,8.0,4.873135869042017
Arc_B60,openvino,int8_ve_only,GPU,canvas,Candies,11,931.2770595477724,49.498720723403075,1.0737943018650105,0.9913131313131313,0.7944531780169626,20.272727272727273,6.950760427978821
Arc_B60,openvino,int8_ve_only,GPU,canvas,LED,14,710.7056453657735,9.747293817266202,1.4070522817999251,0.756077256077256,0.7135616119529138,6.5,7.017073936061934
Arc_B60,openvino,int8_ve_only,GPU,canvas,LVIS-banana_book,54,676.3553236033423,16.537951180695536,1.4785127951272894,0.0854221719998509,0.09653277312666225,0.6111111111111112,7.07048129697796
Arc_B60,openvino,int8_ve_only,GPU,canvas,Nuts,20,653.4768411307596,19.80282024992716,1.530276112416816,0.905079365079365,0.8395799080724322,3.2,6.97312065504957
Arc_B60,openvino,int8_ve_only,GPU,canvas,Potatoes,9,815.6837785564777,129.91969774175732,1.2259652898451754,1.0,0.9272451868961967,8.0,6.902932776953094
Arc_B60,openvino,int8_ve_only,GPU,text,Candies,12,633.5822684729161,14.743252217779128,1.5783269983395176,0.9920370370370369,0.7900303990878447,20.5,7.031799942953512
Arc_B60,openvino,int8_ve_only,GPU,text,LED,15,649.12409686173,18.950142835143023,1.5405374794043583,0.0,0.0,0.0,6.809524407959543
Arc_B60,openvino,int8_ve_only,GPU,text,LVIS-banana_book,55,842.8166146220809,14.726090520559719,1.1864977299342871,0.6065444036390423,0.7126230682460998,7.963636363636364,7.061884203925729
Arc_B60,openvino,int8_ve_only,GPU,text,Nuts,21,683.2658614065232,10.975509858975562,1.4635591451056402,0.6947656840513983,0.8913994326258238,6.523809523809524,6.953589943936095
